Name,HouseNumberAndStreet,City,ZipCode,state,country
MASSACHUSETTS,9,Boston,,MA,USA
Boston =,NA,Boston,,MA,USA
La Grange Health Club,4 La Grange  st,Boston,,MA,USA
Regency of Boston Baths,11 Otis St,Boston,,MA,USA
,NA,Boston,,MA,USA
‘Beef and Ale House,242 Tremont,Boston,,MA,USA
Carnival,38 Boylston,Boston,,MA,USA
Captain's Room,50 Providence,Boston,,MA,USA
Essex Lounge,625 Atlantic,Boston,,MA,USA
Gay Nineties,78 Broadway,Boston,,MA,USA
-HERBIE'S RAMROD ROOM,12 Carver St.,Boston,,MA,USA
,Sat 8Spm-lam,Boston,,MA,USA
,"""Mainly a leather & western bar",Boston,,MA,USA
,Free Sunday buffet 4,Boston,,MA,USA
,"“Bpm 2"" 1 A a a ,",Boston,,MA,USA
,NA,Boston,,MA,USA
,NA,Boston,,MA,USA
Jacques,76 Broadway,Boston,,MA,USA
Mario's,69 Church St,Boston,,MA,USA
Napoleon Club,52 Piedmont,Boston,,MA,USA
Normandy Two,25 Essex,Boston,,MA,USA
Other Side,78 Broadway,Boston,,MA,USA
Playland Cafe,21 Essex,Boston,,MA,USA
743 Club,743 Washington,Boston,,MA,USA
Shed,272 Huntington,Boston,,MA,USA
Sporter's,232 Cambridge BDI,Boston,,MA,USA
Twelve Carver,12 Carver St,Boston,,MA,USA
Twelve Seventy Club,1270 Boylston BDI,Boston,,MA,USA
,NA,Boston,,MA,USA
,95 N,Boston,,MA,USA
,NA,Boston,,MA,USA
Casablanca,40 Brattle St,Boston,,MA,USA
Charlie's Kitchen,10 Elliot St,Boston,,MA,USA
,NA,Boston,,MA,USA
Metropolitan Community Church,419 Boylston St.,Boston,,MA,USA
,Rm 408 617-266-7491,Boston,,MA,USA
,NA,Boston,,MA,USA
,NA,Boston,,MA,USA
,419 Boylston St,Boston,,MA,USA
,617-266-547m -DAUGHTERS OF BILITIS,Boston,,MA,USA
,Tue,Boston,,MA,USA
,Pub,Boston,,MA,USA
,NA,Boston,,MA,USA
,c/o,Boston,,MA,USA
,Box 455,Boston,,MA,USA
,see HUB (below),Boston,,MA,USA
,c/o HUB (see below),Boston,,MA,USA
,419 Boylston St,Boston,,MA,USA
,617-266-5477,Boston,,MA,USA
HOMOPHILE UNION OF BOSTON,419 Boylston St,Boston,,MA,USA
,Rm,Boston,,MA,USA
Church of St John,33 Bowdoin St,Boston,,MA,USA
,Pub,Boston,,MA,USA
Student Homophile League,70 Charles St,Boston,,MA,USA
,617-492-7871 },Boston,,MA,USA
,NA,Boston,,MA,USA
,NA,Boston,,MA,USA
Gay Phone,375 Norfolk St.,Boston,,MA,USA
,NA,Boston,,MA,USA
,Students Homophile Assoc.,Boston,,MA,USA
Lesbian Liberation,46 Pleasant St,Boston,,MA,USA
,617-354-8807 (??,Boston,,MA,USA
Radicalesbians,595 Mass-achusetts Ave,Boston,,MA,USA
Student Homophrle League of Boston,16A Grant St,Boston,,MA,USA
,,Boston,,MA,USA
,NA,Boston,,MA,USA
,NA,Boston,,MA,USA
We Pilgrim Theater,658 Washington St.,Boston,,MA,USA
Pe Pru Cinema,903 Boylston St.,Boston,,MA,USA
,S*.* Station ‘ Summer,Boston,,MA,USA
,NA,Boston,,MA,USA
,NA,Boston,,MA,USA
,Hompphile Union of Boston(see,Boston,,MA,USA
,bimonthly,Boston,,MA,USA
,Daughters of Bilitis (see Part IV)mon-S**thiy;,$5 yu.,,MA,USA
,NA,Boston,,MA,USA
FAG RAG,91 River St,Cambridge,,MA,USA
,25¢,special interest in po-etry,,MA,USA
